"GXP/GIP","Bus","Name","Voltage","Number","Creation date","Easting","Northing","Lat","Long","Island","TLA","Transmission region","A nearby population center or terrain feature","Main lines company","Code","# active ICPs as of Jan 2010","and by retailer: Meridian Energy","Genesis Power","Contact Energy","Mighty River Power","Trustpower","Other","Main retailer as of 2010 (by ICPs)","Mean offtake over 2005-09 (MW)","Max offtake over 2005-09 (MW)","Load factor","Mean offtake in winter - peak periods (MW)","Mean offtake in winter - offpeak day periods (MW)","Mean offtake in winter - offpeak night periods (MW)","Mean offtake in summer - peak periods (MW)","Mean offtake in summer - offpeak day periods (MW)","Mean offtake in summer - offpeak night periods (MW)","Highest load in…","Daily demand trace over 2007-09","168-hour demand profile over 2007-09","Embedded generators over 1 MW","Direct connect customers","From distributor survey                                      : major individual loads",": comments on other loads",": CBD (%)",": residential (%)",": commercial / industrial (%)",": agricultural (%)"
"KIN0112","KIN","Kinleith",11,"2","earlier",1852211,5760027,-38.272,175.883,"N","South Waikato District","Waikato","Tokoroa",,,0,0,0,0,0,0,0,,13,19,68%,12,12,12,13,13,13,"Summer night","Plot for KIN0112","Plot for KIN0112",,"Carter Holt Harvey",,,,,,
"KIN0331","KIN","Kinleith",33,"1","earlier",1852211,5760027,-38.272,175.883,"N","South Waikato District","Waikato","Tokoroa","Powerco Ltd","POCO",6512,174,4265,1010,789,144,130,"Genesis Power",9,20,46%,12,10,8,10,9,7,"Winter peak","Plot for KIN0331","Plot for KIN0331",,,"CHH Kinleith"," ",21%,46%,21%,12%
"KKA0331","KKA","Kaikoura",33,"1","earlier",1655001,5305579,-42.400,173.668,"S","Kaikoura District","Canterbury","Kaikoura","MainPower NZ Ltd","MPOW",2629,135,40,2383,21,50,0,"Contact Energy",4,9,43%,5,4,3,5,4,3,"Winter peak","Plot for KKA0331","Plot for KKA0331",,," ","Dairy, tourism",0%,50%,15%,35%
"KMO0331","KMO","Kaitemako",33,"1",1/04/2009,1879237,5818329,-37.740,176.169,"N","Tauranga City","BOP","Kaitemako","Powerco Ltd","POCO",7707,18,705,161,291,6421,111,"Trustpower",5,19,26%,5,3,3,9,7,6,"Summer peak","Plot for KMO0331","Plot for KMO0331",,,,,,,,
"KOE0331","KOE","Kaikohe",33,"1","earlier",1673593,6082724,-35.396,173.810,"N","Far North District","North Isthmus","Kaikohe","Top Energy Ltd","TOPE",19497,595,562,13947,1005,3388,0,"Contact Energy",14,37,37%,21,17,11,16,15,10,"Winter peak","Plot for KOE0331","Plot for KOE0331","Ngawha",,,,,,,
"KPU0661","KPU","Kopu",66,"1","earlier",1830911,5880685,-37.192,175.602,"N","Thames-Coromandel District","Waikato","Thames","Powerco Ltd","POCO",22801,626,14024,2710,4979,186,276,"Genesis Power",24,42,57%,32,27,20,29,26,20,"Winter peak","Plot for KPU0661","Plot for KPU0661",,," "," ",11%,45%,24%,20%
"KTA0331","KTA","Kaitaia",33,"1","earlier",1624502,6112773,-35.128,173.269,"N","Far North District","North Isthmus","Kaitaia","Top Energy Ltd","TOPE",10651,276,264,7995,470,1646,0,"Contact Energy",15,24,64%,19,17,14,17,16,13,"Winter peak","Plot for KTA0331","Plot for KTA0331",,,,,,,,
"KUM0661","KUM","Kumara",66,"1","earlier",1452036,5278081,-42.636,171.195,"S","Westland District","West Coast","Kumara (on road to Arthur's Pass)","Westpower Ltd","WPOW",517,20,2,34,4,457,0,"Trustpower",0,2,12%,0,0,0,0,0,0,"Winter night","Plot for KUM0661","Plot for KUM0661","Dillmans",," "," ",0%,40%,15%,45%
"KWA0111","KWA","Kaiwharawhara",11,"1","earlier",1750007,5430939,-41.259,174.791,"N","Wellington City","Wellington","Kaiwharawhara, Wellington","Wellington Electricity Lines Limited","CKHK",5428,452,2709,1153,362,164,588,"Genesis Power",18,43,41%,22,22,15,20,21,13,"Winter daytime","Plot for KWA0111","Plot for KWA0111",,,,,,,,
"LFD1101","LFD","Lichfield",110,"1","earlier",1847530,5775580,-38.134,175.824,"N","South Waikato District","Waikato","Putaruru (west of Rotorua)",,,0,0,0,0,0,0,0,,2,8,27%,1,1,1,3,3,3,"Summer daytime","Plot for LFD1101","Plot for LFD1101",,"Fonterra",,,,,,
"LFD1102","LFD","Lichfield",110,"2","earlier",1847530,5775580,-38.134,175.824,"N","South Waikato District","Waikato","Putaruru (west of Rotorua)",,,0,0,0,0,0,0,0,,2,8,27%,1,1,1,3,3,3,"Summer daytime","Plot for LFD1102","Plot for LFD1102",,"Fonterra",,,,,,
"LTN0331","LTN","Linton",33,"1","earlier",1823275,5523361,-40.410,175.631,"N","Palmerston North City","Central","Palmerston North","Powerco Ltd","POCO",15942,888,8708,3262,2949,68,67,"Genesis Power",15,60,25%,23,19,14,14,15,10,"Winter peak","Plot for LTN0331","Plot for LTN0331",,,"Fonterra Longburn"," ",16%,32%,39%,13%
"MAT1101","MAT","Matahina",110,"1","earlier",1934455,5774725,-38.113,176.815,"N","Whakatane District","BOP","Kawerau, near Whakatane",,,0,0,0,0,0,0,0,,0,3,0%,0,0,0,0,0,0,"Summer night","Plot for MAT1101","Plot for MAT1101","Aniwhenua",," ","Dairy & irrigation",0%,"little","little","some"
"MCH0111","MCH","Murchison",11,"1","earlier",1544891,5373460,-41.789,172.337,"S","Tasman District","Nelson Marlborough","Murchison","Network Tasman Ltd","TASM",852,103,19,697,2,31,0,"Contact Energy",1,3,49%,1,1,1,2,1,1,"Summer peak","Plot for MCH0111","Plot for MCH0111",,," ","Dairy",0%,30%,0%,70%
"MER0331","MER","Meremere",33,"1","earlier",1783294,5868195,-37.315,175.068,"N","Waikato District","Auckland","North of Huntly on SH1","WEL Networks","WAIK",2597,57,2043,224,246,25,2,"Genesis Power",4,9,48%,6,5,4,5,4,3,"Winter peak","Plot for MER0331","Plot for MER0331",,," ","Mining, dairy"," "," "," "," "
"MGM0331","MGM","Mangamaire",33,"1","earlier",1833110,5511187,-40.517,175.752,"N","Tararua District","Central","Pahiatua (near Tui factory)","Powerco Ltd","POCO",4312,412,3405,435,31,29,0,"Genesis Power",7,11,63%,8,7,6,9,8,7,"Summer peak","Plot for MGM0331","Plot for MGM0331",,,"Tui Milk Products"," ",5%,30%,43%,22%
"MHO0331","MHO","Mangahao",33,"1","earlier",1807279,5505364,-40.577,175.449,"N","Horowhenua District","Central","Shannon","ElectraLines","ELEC",16204,613,6561,8639,274,115,2,"Contact Energy",19,44,45%,26,23,17,22,21,15,"Winter peak","Plot for MHO0331","Plot for MHO0331",,," "," ",0%,92%,4%,4%
"MLG0111","MLG","Melling",11,"1","earlier",1760652,5437235,-41.200,174.916,"N","Lower Hutt City","Wellington","Melling, Lower Hutt","Wellington Electricity Lines Limited","CKHK",6767,403,4876,670,575,132,111,"Genesis Power",13,29,45%,18,16,11,13,14,9,"Winter peak","Plot for MLG0111","Plot for MLG0111",,,,,,,,
"MLG0331","MLG","Melling",33,"1","earlier",1760652,5437235,-41.200,174.916,"N","Lower Hutt City","Wellington","Melling, Lower Hutt","Wellington Electricity Lines Limited","CKHK",15622,951,11006,1677,1483,220,285,"Genesis Power",22,46,48%,31,28,20,23,23,16,"Winter peak","Plot for MLG0331","Plot for MLG0331",,,,,,,,
"MLN0661","MLN","Middleton",66,"1",2/02/2008,1565069,5179028,-43.541,172.568,"S","Christchurch City","Canterbury","Sockburn, Christchurch","Orion New Zealand Limited","ORON",2299,1401,27,578,130,126,37,"Meridian Energy Ltd",7,20,34%,7,8,6,8,9,6,"Summer daytime","Plot for MLN0661","Plot for MLN0661",,," "," ",0%,"some","some",0%
"MLN0664","MLN","Middleton",66,"4",12/04/2008,1565069,5179028,-43.541,172.568,"S","Christchurch City","Canterbury","Sockburn, Christchurch",,,0,0,0,0,0,0,0,,7,23,30%,8,8,6,7,8,6,"Winter daytime","Plot for MLN0664","Plot for MLN0664",,,,,,,,
"MNG0331","MNG","Mangere",33,"1","earlier",1762701,5907699,-36.963,174.828,"N","Manukau City","Auckland","Mangere, Auckland","Vector Limited","VECT",24404,218,1768,4457,17553,194,214,"Mighty River Power Limited",57,98,58%,72,68,51,61,64,47,"Winter peak","Plot for MNG0331","Plot for MNG0331","Watercare Mangere",,,,,,,
"MNG1101","MNG","Mangere",110,"1","earlier",1762701,5907699,-36.963,174.828,"N","Manukau City","Auckland","Mangere, Auckland",,,0,0,0,0,0,0,0,,22,50,43%,24,24,24,19,20,20,"Winter daytime","Plot for MNG1101","Plot for MNG1101",,"Pacific Steel",,,,,,
"MNI0111","MNI","Motunui",11,"1","earlier",1711559,5683113,-38.994,174.288,"N","New Plymouth District","Taranaki","East of New Plymouth",,,0,0,0,0,0,0,0,,1,8,14%,1,1,1,1,1,1,"Summer daytime","Plot for MNI0111","Plot for MNI0111",,,"Methanex"," ",0%,0%,100%,0%
"MOT0111","MOT","Motueka",11,"1","earlier",1598333,5445933,-41.138,172.980,"S","Tasman District","Nelson Marlborough","Motueka","Network Tasman Ltd","TASM",6983,439,37,6327,18,160,2,"Contact Energy",10,19,56%,14,12,10,12,11,8,"Winter peak","Plot for MOT0111","Plot for MOT0111",,,"Fish processor"," ",0%,25%,35%,40%
"MPE0331","MPE","Maungatapere",33,"1","earlier",1709123,6041296,-35.766,174.207,"N","Whangarei District","North Isthmus","Maungatapere (west of Whangarei)","Northpower Ltd","NPOW",9294,3949,2553,1072,1606,113,1,"Meridian Energy Ltd",24,53,46%,29,28,21,26,27,21,"Winter peak","Plot for MPE0331","Plot for MPE0331","Wairua Falls",," "," ","some","some","most","some"
"MPI0661","MPI","Motupipi",66,"1",13/11/2003,1586765,5476730,-40.860,172.843,"S","Tasman District","Nelson Marlborough","Motupipi (north of Takaka)","Network Tasman Ltd","TASM",3234,272,28,2879,6,48,1,"Contact Energy",4,7,52%,4,4,3,4,5,4,"Summer daytime","Plot for MPI0661","Plot for MPI0661","Onekaka",," "," ",0%,35%,15%,50%
"MRA0111","MRA","Moturoa",11,"1","earlier",1690017,5675512,-39.065,174.040,"N","New Plymouth District","Taranaki","New Plymouth","Powerco Ltd","POCO",9390,280,5966,1049,1695,249,151,"Genesis Power",10,20,50%,14,11,9,11,10,8,"Winter peak","Plot for MRA0111","Plot for MRA0111",,," "," ",0%,60%,28%,12%
"MST0331","MST","Masterton",33,"1","earlier",1819715,5460482,-40.977,175.611,"N","Carterton District","Wellington","Masterton","Powerco Ltd","POCO",16638,1019,11850,3473,55,145,96,"Genesis Power",24,41,60%,30,27,24,25,25,20,"Winter peak","Plot for MST0331","Plot for MST0331",,," "," ",8%,29%,33%,30%
"MTM0111","MTM","Mt Maunganui",11,"1","earlier",1883469,5825061,-37.678,176.214,"N","Tauranga City","BOP","Mt Maunganui","Powerco Ltd","POCO",5976,30,601,128,277,4856,84,"Trustpower",9,19,49%,13,12,8,10,11,7,"Winter peak","Plot for MTM0111","Plot for MTM0111","Ballance Agri",," "," ",0%,35%,65%,0%
"MTM0331","MTM","Mt Maunganui",33,"1","earlier",1883469,5825061,-37.678,176.214,"N","Tauranga City","BOP","Mt Maunganui","Powerco Ltd","POCO",15326,76,1725,327,731,12168,299,"Trustpower",21,45,47%,28,25,19,22,22,17,"Winter peak","Plot for MTM0331","Plot for MTM0331",,," "," ",2%,41%,53%,4%
"MTN0331","MTN","Marton",33,"1","earlier",1801209,5558166,-40.103,175.361,"N","Rangitikei District","Central","Marton","Powerco Ltd","POCO",5997,280,4731,582,291,112,1,"Genesis Power",9,16,61%,12,10,8,11,10,8,"Winter peak","Plot for MTN0331","Plot for MTN0331",,," "," ",3%,28%,24%,45%
"MTO0331","MTO","Maungaturoto",33,"1","earlier",1722370,6005586,-36.087,174.359,"N","Kaipara District","North Isthmus","Maungaturoto (south of Whangarei)","Northpower Ltd","NPOW",8221,3454,1695,1036,1954,76,6,"Meridian Energy Ltd",10,17,58%,11,9,7,12,11,9,"Summer peak","Plot for MTO0331","Plot for MTO0331",,," ","Dairy",0%,40%,30%,30%
"MTR0331","MTR","Mataroa",33,"1","earlier",1831798,5606724,-39.658,175.702,"N","Rangitikei District","Central","Taihape","Powerco Ltd","POCO",2955,202,2384,231,41,90,7,"Genesis Power",4,8,57%,6,5,4,4,4,3,"Winter peak","Plot for MTR0331","Plot for MTR0331",,," ","Taihape township",0%,40%,20%,40%
"NMA0331","NMA","North Makarewa",33,"1","earlier",1242676,4861551,-46.305,168.360,"S","Southland District","Otago Southland","Makarewa (north of Invercargill)","The Power Company Ltd","TPCO",14183,1318,945,10968,237,715,0,"Contact Energy",20,56,35%,25,22,18,23,21,16,"Winter peak","Plot for NMA0331","Plot for NMA0331","Monowai",,,,,,,
"NPK0331","NPK","National Park",33,"1","earlier",1807258,5662947,-39.158,175.399,"N","Ruapehu District","Central","National Park Village","The Lines Company","LINE",848,13,79,0,5,0,751,,2,7,30%,3,3,2,2,2,1,"Winter peak","Plot for NPK0331","Plot for NPK0331",,,"Skifield"," ",0%,30%,70%,0%
"NSY0331","NSY","Naseby",33,"1","earlier",1371044,5009256,-45.033,170.093,"S","Central Otago District","Otago Southland","Naseby (which is near Ranfurly)","Otago Power Ltd","OTPO",2425,432,35,124,21,1812,1,"Trustpower",16,27,61%,15,15,15,18,18,18,"Summer peak","Plot for NSY0331","Plot for NSY0331","Falls Dam",,"Gold mine","Irrigation",0%,"some",75%,"some"
"OAM0331","OAM","Oamaru",33,"1","earlier",1436052,5007249,-45.069,170.917,"S","Waitaki District","Otago Southland","Oamaru","Network Waitaki Ltd","WATA",10393,8686,123,1183,93,308,0,"Meridian Energy Ltd",22,38,58%,24,23,19,25,25,21,"Summer daytime","Plot for OAM0331","Plot for OAM0331",,,"Freezing works"," ",25%,25%,25%,25%
"OKI0111","OKI","Ohaaki",11,"1","earlier",1886999,5730457,-38.528,176.292,"N","Taupo District","Waikato","Northeast of Taupo","Unison Network Ltd","HAWK",652,8,175,20,130,309,10,"Trustpower",2,5,36%,2,1,1,2,2,2,"Summer peak","Plot for OKI0111","Plot for OKI0111",,"Contact Energy (Ohaaki)",,,,,,
"OKN0111","OKN","Ohakune",11,"1","earlier",1803836,5633198,-39.427,175.368,"N","Ruapehu District","Central","Ohakune","The Lines Company","LINE",3019,98,1185,84,25,28,1599,,2,8,20%,2,2,2,1,1,1,"Winter peak","Plot for OKN0111","Plot for OKN0111",,,,,,,,
"ONG0331","ONG","Ongarue",33,"1","earlier",1789596,5709188,-38.746,175.182,"N","Ruapehu District","Central","Ongarue (west of Lake Taupo)","The Lines Company","LINE",4748,89,699,2,14,0,3944,,2,11,16%,2,2,2,1,1,2,"Winter peak","Plot for ONG0331","Plot for ONG0331","Kuratau",," "," ",0%,90%,0%,10%
"OPK0331","OPK","Opunake",33,"1","earlier",1672905,5633141,-39.448,173.847,"N","South Taranaki District","Taranaki","Opunake (west side of Taranaki)","Powerco Ltd","POCO",3027,77,2419,153,207,163,8,"Genesis Power",5,11,51%,6,5,5,6,6,6,"Summer peak","Plot for OPK0331","Plot for OPK0331",,," ","Dairy",0%,43%,18%,39%
"ORO1101","ORO","Orowaiti",110,"1",1/09/2004,1486419,5375556,-41.764,171.634,"S","Buller District","West Coast","Westport","Buller Electricity Ltd","BUEL",2287,434,35,454,4,1360,0,"Trustpower",2,7,34%,3,3,2,3,2,2,"Winter peak","Plot for ORO1101","Plot for ORO1101",,," "," ",25%,25%,25%,25%
"ORO1102","ORO","Orowaiti",110,"2",1/09/2004,1486419,5375556,-41.764,171.634,"S","Buller District","West Coast","Westport","Buller Electricity Ltd","BUEL",1657,292,27,219,12,1106,1,"Trustpower",2,8,31%,3,3,2,3,3,2,"Winter peak","Plot for ORO1102","Plot for ORO1102",,," "," ",25%,25%,25%,25%
"OTA0221","OTA","Otahuhu",22,"1","earlier",1765826,5908534,-36.955,174.863,"N","Manukau City","Auckland","Otara, Auckland","Vector Limited","VECT",18356,126,1214,3032,13785,102,97,"Mighty River Power Limited",26,55,47%,35,32,22,28,30,19,"Winter peak","Plot for OTA0221","Plot for OTA0221","Greenmount Landfill","Contact Energy (Otahuhu)",,,,,,
"OTI0111","OTI","Otira",11,"1","earlier",1482627,5256885,-42.832,171.564,"S","Westland District","West Coast","Otira (north of Arthur's Pass)","Westpower Ltd","WPOW",40,6,0,8,0,26,0,"Trustpower",0,1,27%,0,0,0,0,0,0,"Winter daytime","Plot for OTI0111","Plot for OTI0111",,,"Tranz Rail"," ",0%,5%,95%,0%
"OWH0111","OWH","Owhata",11,"1","earlier",1891300,5774549,-38.130,176.323,"N","Rotorua District","BOP","Owhata, near Rotorua","Unison Network Ltd","HAWK",5358,35,1697,284,639,2481,222,"Trustpower",8,15,51%,11,8,8,8,7,6,"Winter peak","Plot for OWH0111","Plot for OWH0111",,,,,,,,
"PAK0331","PAK","Pakuranga",33,"1","earlier",1769812,5911645,-36.926,174.907,"N","Manukau City","Auckland","Pakuranga, Auckland","Vector Limited","VECT",38455,486,2759,4612,30248,172,178,"Mighty River Power Limited",70,142,49%,98,81,64,76,74,53,"Winter peak","Plot for PAK0331","Plot for PAK0331",,,,,,,,
"PAL0331","PAL","Palmerston",33,"1","earlier",1419241,4960494,-45.486,170.687,"S","Waitaki District","Otago Southland","Palmerston, Otago","Otago Power Ltd","OTPO",3229,472,30,439,66,2222,0,"Trustpower",4,8,52%,5,4,4,4,4,4,"Winter peak","Plot for PAL0331","Plot for PAL0331",,," "," ",0%,75%,"some","some"
"PAP0111","PAP","Papanui",11,"1","earlier",1567021,5184375,-43.493,172.592,"S","Christchurch City","Canterbury","Papanui, Christchurch","Orion New Zealand Limited","ORON",16049,8928,262,4797,1534,291,237,"Meridian Energy Ltd",36,68,52%,46,38,39,34,32,28,"Winter peak","Plot for PAP0111","Plot for PAP0111",,," "," ",0%,"some","most",0%
"PAP0661","PAP","Papanui",66,"1","earlier",1567021,5184375,-43.493,172.592,"S","Christchurch City","Canterbury","Papanui, Christchurch","Orion New Zealand Limited","ORON",13372,7530,158,3991,1205,246,242,"Meridian Energy Ltd",20,47,42%,28,21,23,17,16,14,"Winter peak","Plot for PAP0661","Plot for PAP0661",,," "," ",0%,"some","most",0%
"PEN0221","PEN","Penrose",22,"1","earlier",1761811,5914199,-36.904,174.816,"N","Auckland City","Auckland","Penrose, Auckland","Vector Limited","VECT",19482,320,1473,3290,13075,144,1180,"Mighty River Power Limited",35,64,54%,44,42,30,37,40,27,"Winter peak","Plot for PEN0221","Plot for PEN0221",,,,,,,,
"PEN0331","PEN","Penrose",33,"1","earlier",1761811,5914199,-36.904,174.816,"N","Auckland City","Auckland","Penrose, Auckland","Vector Limited","VECT",66696,1239,5405,10961,47660,374,1057,"Mighty River Power Limited",76,281,27%,99,91,68,80,84,58,"Winter peak","Plot for PEN0331","Plot for PEN0331","Auckland District Hospital",,,,,,,
"PEN1101","PEN","Penrose",110,"1","earlier",1761811,5914199,-36.904,174.816,"N","Auckland City","Auckland","Penrose, Auckland","Vector Limited","VECT",27658,550,2398,3942,12336,247,8185,"Mighty River Power Limited",85,208,41%,101,107,68,96,108,66,"Summer daytime","Plot for PEN1101","Plot for PEN1101",,,,,,,,
"PNI0331","PNI","Pauatahanui",33,"1","earlier",1761103,5447294,-41.110,174.919,"N","Porirua City","Wellington","Porirua","Wellington Electricity Lines Limited","CKHK",7021,604,4709,981,523,112,92,"Genesis Power",9,21,41%,13,9,9,9,7,6,"Winter peak","Plot for PNI0331","Plot for PNI0331",,,,,,,,
"PRM0331","PRM","Paraparaumu",33,"1","earlier",1769433,5467578,-40.925,175.012,"N","Kapiti Coast District","Wellington","Paraparaumu","ElectraLines","ELEC",25942,1007,12968,11151,688,126,2,"Genesis Power",30,63,47%,43,34,28,32,29,22,"Winter peak","Plot for PRM0331","Plot for PRM0331",,," "," ",0%,92%,4%,4%
"RDF0331","RDF","Redclyffe",33,"1","earlier",1928302,5615035,-39.552,176.821,"N","Napier City","Hawkes Bay","Napier","Unison Network Ltd","HAWK",21733,394,9189,11162,101,886,1,"Contact Energy",32,68,47%,45,37,28,36,34,25,"Winter peak","Plot for RDF0331","Plot for RDF0331","Ravensdown",,,,,,,
"RFN1101","RFN","Reefton",110,"1",19/10/2005,1504535,5340444,-42.082,171.846,"S","Buller District","West Coast","Reefton","Westpower Ltd","WPOW",700,41,9,79,6,565,0,"Trustpower",2,7,25%,2,2,2,2,2,2,"Winter peak","Plot for RFN1101","Plot for RFN1101",,,"Gold mine"," ",0%,20%,60%,20%
"RFN1102","RFN","Reefton",110,"2",19/10/2005,1504535,5340444,-42.082,171.846,"S","Buller District","West Coast","Reefton","Westpower Ltd","WPOW",541,50,5,46,1,439,0,"Trustpower",3,8,34%,3,3,3,3,3,2,"Winter peak","Plot for RFN1102","Plot for RFN1102",,,,,,,,
"ROS0221","ROS","Mt Roskill",22,"1","earlier",1753728,5913297,-36.914,174.726,"N","Auckland City","Auckland","Mt Roskill, Auckland","Vector Limited","VECT",40335,557,3166,6299,29658,153,502,"Mighty River Power Limited",49,109,45%,71,57,46,51,48,36,"Winter peak","Plot for ROS0221","Plot for ROS0221",,,,,,,,
"ROS1101","ROS","Mt Roskill",110,"1","earlier",1753728,5913297,-36.914,174.726,"N","Auckland City","Auckland","Mt Roskill, Auckland","Vector Limited","VECT",21686,639,2155,4482,13280,112,1018,"Mighty River Power Limited",61,182,34%,79,76,53,67,71,46,"Winter peak","Plot for ROS1101","Plot for ROS1101",,,,,,,,
"ROT0111","ROT","Rotorua",11,"1","earlier",1882789,5772796,-38.148,176.227,"N","Rotorua District","BOP","Rotorua","Unison Network Ltd","HAWK",10699,82,3915,755,1566,3999,382,"Trustpower",16,37,42%,23,18,14,17,16,12,"Winter peak","Plot for ROT0111","Plot for ROT0111","Fletcher Forests",,,,,,,
"ROT0331","ROT","Rotorua",33,"1","earlier",1882789,5772796,-38.148,176.227,"N","Rotorua District","BOP","Rotorua","Unison Network Ltd","HAWK",10912,104,3397,623,1762,4594,432,"Trustpower",23,45,51%,28,27,19,26,27,19,"Winter peak","Plot for ROT0331","Plot for ROT0331","Assorted, up to 2.5MW",,,,,,,
"SBK0331","SBK","Southbrook",33,"1","earlier",1567465,5202757,-43.327,172.599,"S","Waimakariri District","Canterbury","Rangiora","MainPower NZ Ltd","MPOW",14980,1347,283,12978,97,275,0,"Contact Energy",22,39,57%,28,22,20,26,23,20,"Winter peak","Plot for SBK0331","Plot for SBK0331",,," ","Dairy, irrigation, lifestyle",0%,50%,10%,40%
"SDN0331","SDN","South Dunedin",33,"1","earlier",1406622,4915071,-45.891,170.507,"S","Dunedin City","Otago Southland","South Dunedin","Aurora Energy Ltd","DUNE",16689,1887,184,8494,2354,3571,199,"Contact Energy",36,72,50%,52,47,34,37,37,26,"Winter peak","Plot for SDN0331","Plot for SDN0331",,,"Otago University","Includes part of Dunedin CBD",45%,25%,30%,0%
"SFD0331","SFD","Stratford",33,"1","earlier",1713801,5645313,-39.334,174.320,"N","Stratford District","Taranaki","Stratford","Powerco Ltd","POCO",8165,206,6190,574,770,370,55,"Genesis Power",14,23,62%,17,15,13,17,15,13,"Summer peak","Plot for SFD0331","Plot for SFD0331",,"Contact Energy (Stratford)"," "," ",2%,32%,38%,28%
"SFD2201","SFD","Stratford",220,"1","earlier",1713801,5645313,-39.334,174.320,"N","Stratford District","Taranaki","Stratford",,,0,0,0,0,0,0,0,,0,10,2%,0,0,0,0,0,0,"Summer night","Plot for SFD2201","Plot for SFD2201",,,,,,,,
"SPN0331","SPN","Springston",33,"1","earlier",1555631,5168224,-43.638,172.450,"S","Selwyn District","Canterbury","Lincoln","Orion New Zealand Limited","ORON",17232,11037,566,3507,1475,409,238,"Meridian Energy Ltd",28,51,55%,32,25,25,32,30,29,"Summer peak","Plot for SPN0331","Plot for SPN0331",,," ","Irrigation",0%,"some","little","most"
"SPN0661","SPN","Springston",66,"1",31/03/2008,1555631,5168224,-43.638,172.450,"S","Selwyn District","Canterbury","Lincoln","Orion New Zealand Limited","ORON",1519,990,36,269,138,69,17,"Meridian Energy Ltd",3,16,22%,2,2,2,6,5,5,"Summer peak","Plot for SPN0661","Plot for SPN0661",,,"Lincoln University","Irrigation",0%,"some","little","most"
"STK0331","STK","Stoke",33,"1","earlier",1620404,5426289,-41.315,173.244,"S","Nelson City","Nelson Marlborough","Stoke (near Nelson)","Network Tasman Ltd","TASM",32898,2266,341,23424,68,6799,0,"Contact Energy",70,122,58%,94,82,67,73,71,55,"Winter peak","Plot for STK0331","Plot for STK0331",,,"Nelson Pine Industries, Sealords"," ",10%,30%,55%,5%
"STU0111","STU","Studholme",11,"1","earlier",1452574,5045118,-44.732,171.138,"S","Waimate District","Otago Southland","Waimate","Alpine Energy","ALPE",3603,456,331,2394,19,403,0,"Contact Energy",8,18,46%,8,7,6,10,10,9,"Summer peak","Plot for STU0111","Plot for STU0111",,,"NZDL dairy factory","Irrigation, dairy, Waimate township, timber processing",0%,15%,25%,60%
"SVL0331","SVL","Silverdale",33,"1",5/12/2003,1750533,5945568,-36.624,174.684,"N","Rodney District","North Isthmus","Silverdale ","United Networks Ltd","UNET",26556,566,12654,5425,7619,136,156,"Genesis Power",27,71,38%,43,31,24,31,26,19,"Winter peak","Plot for SVL0331","Plot for SVL0331","Redvale",,,,,,,
"SWN2201","SWN","Southdown",220,"1","earlier",1761582,5911314,-36.930,174.814,"N","Auckland City","Auckland","Southdown, Auckland",,,0,0,0,0,0,0,0,,0,4,12%,0,0,0,0,0,1,"Summer night","Plot for SWN2201","Plot for SWN2201",,,,,,,,
"TAK0331","TAK","Takanini",33,"1","earlier",1771966,5899057,-37.039,174.934,"N","Papakura District","Auckland","Takanini, Auckland","Vector Limited","VECT",43784,507,2951,6807,33066,310,143,"Mighty River Power Limited",57,117,48%,81,65,51,62,57,43,"Winter peak","Plot for TAK0331","Plot for TAK0331","Whitford Landfill",,,,,,,
"TGA0111","TGA","Tauranga",11,"1","earlier",1875942,5819814,-37.727,176.131,"N","Tauranga City","BOP","Te Kaha, on road from Whakatane to East Cape","Powerco Ltd","POCO",10478,49,966,210,410,8639,204,"Trustpower",13,26,50%,18,15,12,14,13,10,"Winter peak","Plot for TGA0111","Plot for TGA0111",,," "," ",2%,69%,16%,13%
"TGA0331","TGA","Tauranga",33,"1","earlier",1875942,5819814,-37.727,176.131,"N","Tauranga City","BOP","Te Kaha, on road from Whakatane to East Cape","Powerco Ltd","POCO",26017,131,1934,574,1110,21781,487,"Trustpower",26,70,37%,30,30,27,21,28,22,"Winter daytime","Plot for TGA0331","Plot for TGA0331","Lloyd Mandeno, Lower Mangapapa",," "," ",18%,49%,28%,5%
"TIM0111","TIM","Timaru",11,"1","earlier",1459007,5085217,-44.373,171.230,"S","Timaru District","South Canterbury","Timaru","Alpine Energy","ALPE",17189,924,495,11646,81,4043,0,"Contact Energy",38,63,61%,48,44,37,38,39,31,"Winter peak","Plot for TIM0111","Plot for TIM0111",,," Smithfield Meat Works, Pareora Meat Works, McCain Foods","Timaru CBD, Washdyke Industrial, Pleasant Point",40%,30%,25%,5%
"TKA0331","TKA","Tekapo A",33,"1","earlier",1396472,5123461,-44.014,170.461,"S","Mackenzie District","South Canterbury","Lake Tekapo","Alpine Energy","ALPE",710,90,30,514,8,68,0,"Contact Energy",2,4,42%,2,2,2,2,1,1,"Winter peak","Plot for TKA0331","Plot for TKA0331",,," ","Tekapo township, Mt Cook Village",0%,80%,15%,5%
"TKH0111","TKH","Te Kaha",11,"1","earlier",2012932,5812384,-37.743,177.686,"N","Opotiki District","BOP","Hamilton","Horizon Energy Distribution Limited","HEDL",1002,8,15,8,14,9,948,,1,2,39%,1,1,1,1,1,1,"Winter peak","Plot for TKH0111","Plot for TKH0111",,," "," ",0%,"little","little","some"
